Angle (deg),O-Si-O Concentration (%),O-Al-O Concentration (%)
0.5,0.0000,0.0000
1.5,0.0000,0.0000
2.5,0.0000,0.0000
3.5,0.0000,0.0000
4.5,0.0000,0.0000
5.5,0.0000,0.0000
6.5,0.0000,0.0000
7.5,0.0000,0.0000
8.5,0.0000,0.0000
9.5,0.0000,0.0000
10.5,0.0000,0.0000
11.5,0.0000,0.0000
12.5,0.0000,0.0000
13.5,0.0000,0.0000
14.5,0.0000,0.0000
15.5,0.0000,0.0000
16.5,0.0000,0.0000
17.5,0.0000,0.0000
18.5,0.0000,0.0000
19.5,0.0000,0.0000
20.5,0.0000,0.0000
21.5,0.0000,0.0000
22.5,0.0000,0.0000
23.5,0.0000,0.0000
24.5,0.0000,0.0000
25.5,0.0000,0.0000
26.5,0.0000,0.0000
27.5,0.0000,0.0000
28.5,0.0000,0.0000
29.5,0.0000,0.0000
30.5,0.0000,0.0000
31.5,0.0000,0.0000
32.5,0.0000,0.0000
33.5,0.0000,0.0000
34.5,0.0000,0.0000
35.5,0.0000,0.0000
36.5,0.0000,0.0000
37.5,0.0000,0.0000
38.5,0.0000,0.0000
39.5,0.0000,0.0000
40.5,0.0000,0.0000
41.5,0.0000,0.0000
42.5,0.0000,0.0000
43.5,0.0000,0.0000
44.5,0.0000,0.0000
45.5,0.0000,0.0000
46.5,0.0000,0.0000
47.5,0.0000,0.0000
48.5,0.0000,0.0000
49.5,0.0000,0.0000
50.5,0.0000,0.0000
51.5,0.0000,0.0000
52.5,0.0000,0.0000
53.5,0.0000,0.0000
54.5,0.0000,0.0000
55.5,0.0000,0.0000
56.5,0.0000,0.0000
57.5,0.0000,0.0000
58.5,0.0000,0.0000
59.5,0.0000,0.0000
60.5,0.0000,0.0000
61.5,0.0000,0.0000
62.5,0.0000,0.0000
63.5,0.0000,0.0000
64.5,0.0000,0.0000
65.5,0.0000,0.0000
66.5,0.0000,0.0000
67.5,0.0000,0.0000
68.5,0.0000,0.0000
69.5,0.0000,0.0294
70.5,0.0000,0.0294
71.5,0.0000,0.0294
72.5,0.0000,0.0000
73.5,0.0000,0.0587
74.5,0.0000,0.1174
75.5,0.0261,0.2642
76.5,0.0261,0.0881
77.5,0.0261,0.0881
78.5,0.0000,0.1762
79.5,0.0522,0.2055
80.5,0.1044,0.4991
81.5,0.0522,0.4404
82.5,0.0783,0.5285
83.5,0.0522,0.7340
84.5,0.2350,0.8221
85.5,0.1828,1.0276
86.5,0.2872,1.2038
87.5,0.3655,1.2038
88.5,0.3394,1.4974
89.5,0.5483,1.6735
90.5,0.8355,1.7616
91.5,1.0705,1.7029
92.5,1.2794,2.2901
93.5,1.4360,2.1433
94.5,1.6188,2.0552
95.5,1.7232,2.2607
96.5,1.8799,2.2020
97.5,2.2454,2.7598
98.5,2.4804,3.1122
99.5,2.9504,2.6130
100.5,3.1332,2.4075
101.5,3.2115,2.6718
102.5,4.0470,3.2590
103.5,3.7598,2.2607
104.5,4.2559,3.2296
105.5,3.7598,2.6718
106.5,3.9687,2.8186
107.5,4.2559,2.3782
108.5,4.0209,2.3194
109.5,3.6031,2.4662
110.5,4.1775,2.3488
111.5,3.6815,2.0552
112.5,2.8721,2.3488
113.5,3.1593,2.0846
114.5,3.0548,1.8790
115.5,2.5065,1.7029
116.5,2.2454,1.8790
117.5,2.2977,1.2625
118.5,1.7755,1.8790
119.5,1.7755,1.2331
120.5,1.9582,1.3799
121.5,1.3316,1.3212
122.5,1.4099,0.9982
123.5,1.3577,1.3212
124.5,1.2010,1.2625
125.5,0.5744,0.5578
126.5,0.8355,0.9689
127.5,0.6789,0.9689
128.5,0.4178,0.7046
129.5,0.4700,0.7634
130.5,0.5483,0.7046
131.5,0.5222,0.6459
132.5,0.3916,0.4991
133.5,0.3133,0.4698
134.5,0.1828,0.4404
135.5,0.1828,0.5578
136.5,0.1828,0.6166
137.5,0.2350,0.4110
138.5,0.2089,0.3523
139.5,0.1305,0.2936
140.5,0.0783,0.3523
141.5,0.1828,0.3230
142.5,0.0783,0.1468
143.5,0.1044,0.3817
144.5,0.1044,0.2349
145.5,0.1044,0.1468
146.5,0.0261,0.3523
147.5,0.0261,0.2055
148.5,0.0000,0.2642
149.5,0.0000,0.3230
150.5,0.1305,0.1174
151.5,0.0783,0.1174
152.5,0.0000,0.1468
153.5,0.0261,0.2349
154.5,0.0261,0.1468
155.5,0.0000,0.1762
156.5,0.0000,0.1174
157.5,0.0783,0.0881
158.5,0.0000,0.1762
159.5,0.0000,0.2349
160.5,0.0522,0.0881
161.5,0.0261,0.1174
162.5,0.0261,0.0881
163.5,0.0522,0.0881
164.5,0.0261,0.0881
165.5,0.0000,0.0881
166.5,0.0000,0.1762
167.5,0.0000,0.0881
168.5,0.0261,0.0881
169.5,0.0000,0.0294
170.5,0.0000,0.1762
171.5,0.0000,0.0587
172.5,0.0522,0.0881
173.5,0.0000,0.1468
174.5,0.0261,0.1174
175.5,0.0000,0.0000
176.5,0.0261,0.0881
177.5,0.0000,0.0881
178.5,0.0522,0.0000
179.5,0.0000,0.0000
