Angle (deg),O-Si-O Concentration (%),O-Al-O Concentration (%)
0.5,0.0000,0.0000
1.5,0.0000,0.0000
2.5,0.0000,0.0000
3.5,0.0000,0.0000
4.5,0.0000,0.0000
5.5,0.0000,0.0000
6.5,0.0000,0.0000
7.5,0.0000,0.0000
8.5,0.0000,0.0000
9.5,0.0000,0.0000
10.5,0.0000,0.0000
11.5,0.0000,0.0000
12.5,0.0000,0.0000
13.5,0.0000,0.0000
14.5,0.0000,0.0000
15.5,0.0000,0.0000
16.5,0.0000,0.0000
17.5,0.0000,0.0000
18.5,0.0000,0.0000
19.5,0.0000,0.0000
20.5,0.0000,0.0000
21.5,0.0000,0.0000
22.5,0.0000,0.0000
23.5,0.0000,0.0000
24.5,0.0000,0.0000
25.5,0.0000,0.0000
26.5,0.0000,0.0000
27.5,0.0000,0.0000
28.5,0.0000,0.0000
29.5,0.0000,0.0000
30.5,0.0000,0.0000
31.5,0.0000,0.0000
32.5,0.0000,0.0000
33.5,0.0000,0.0000
34.5,0.0000,0.0000
35.5,0.0000,0.0000
36.5,0.0000,0.0000
37.5,0.0000,0.0000
38.5,0.0000,0.0000
39.5,0.0000,0.0000
40.5,0.0000,0.0000
41.5,0.0000,0.0000
42.5,0.0000,0.0000
43.5,0.0000,0.0000
44.5,0.0000,0.0000
45.5,0.0000,0.0000
46.5,0.0000,0.0000
47.5,0.0000,0.0000
48.5,0.0000,0.0000
49.5,0.0000,0.0000
50.5,0.0000,0.0000
51.5,0.0000,0.0000
52.5,0.0000,0.0000
53.5,0.0000,0.0000
54.5,0.0000,0.0000
55.5,0.0000,0.0000
56.5,0.0000,0.0000
57.5,0.0000,0.0000
58.5,0.0000,0.0000
59.5,0.0000,0.0000
60.5,0.0000,0.0000
61.5,0.0000,0.0000
62.5,0.0000,0.0000
63.5,0.0000,0.0000
64.5,0.0000,0.0000
65.5,0.0000,0.0000
66.5,0.0000,0.0000
67.5,0.0000,0.0000
68.5,0.0000,0.0285
69.5,0.0000,0.0000
70.5,0.0000,0.0571
71.5,0.0000,0.0285
72.5,0.0000,0.0571
73.5,0.0000,0.0285
74.5,0.0000,0.1427
75.5,0.0000,0.1142
76.5,0.0000,0.1998
77.5,0.0000,0.1998
78.5,0.0257,0.2569
79.5,0.0257,0.3426
80.5,0.0257,0.5424
81.5,0.1543,0.3426
82.5,0.1029,0.5709
83.5,0.1543,0.6851
84.5,0.1029,0.8564
85.5,0.1543,0.8564
86.5,0.2057,1.0848
87.5,0.3086,1.0277
88.5,0.4886,1.3703
89.5,0.5657,1.4844
90.5,0.6171,1.6843
91.5,0.9000,1.5986
92.5,1.1314,1.8841
93.5,1.4914,2.0554
94.5,1.8514,2.1696
95.5,2.2371,2.4550
96.5,1.9028,2.3694
97.5,2.4171,2.4836
98.5,2.8285,2.7405
99.5,2.3399,2.9118
100.5,3.2656,3.0831
101.5,3.2399,2.7691
102.5,4.1399,2.8832
103.5,3.9856,2.8261
104.5,3.8056,2.8261
105.5,4.0370,2.7691
106.5,4.0627,2.5407
107.5,3.7028,2.9118
108.5,3.5485,2.8261
109.5,4.0370,2.1696
110.5,4.2170,2.5407
111.5,2.9571,2.1125
112.5,3.4199,2.2838
113.5,2.6485,2.3409
114.5,2.7256,1.6557
115.5,3.0085,1.8270
116.5,2.6742,1.7414
117.5,2.0828,1.6843
118.5,1.8257,0.9706
119.5,1.7742,1.5415
120.5,2.1342,1.7128
121.5,1.4914,1.2846
122.5,1.3371,1.1419
123.5,1.1571,0.7993
124.5,1.1057,1.0562
125.5,0.9771,0.8279
126.5,0.6171,0.9420
127.5,0.7457,0.8564
128.5,0.7457,1.0848
129.5,0.4886,0.7422
130.5,0.3600,0.7137
131.5,0.4628,0.8279
132.5,0.3857,0.5709
133.5,0.2571,0.7137
134.5,0.3857,0.5709
135.5,0.3343,0.3997
136.5,0.1286,0.1998
137.5,0.2314,0.3997
138.5,0.1286,0.3997
139.5,0.1029,0.3426
140.5,0.1800,0.2284
141.5,0.0771,0.2569
142.5,0.1029,0.1142
143.5,0.1029,0.2569
144.5,0.1286,0.3426
145.5,0.0257,0.2569
146.5,0.0000,0.2284
147.5,0.0000,0.2569
148.5,0.0514,0.3711
149.5,0.0257,0.1713
150.5,0.0514,0.2284
151.5,0.0257,0.1427
152.5,0.0000,0.1713
153.5,0.0257,0.1713
154.5,0.0771,0.1998
155.5,0.0771,0.2284
156.5,0.0257,0.0571
157.5,0.0514,0.1713
158.5,0.0000,0.0856
159.5,0.0000,0.1427
160.5,0.0000,0.1142
161.5,0.0000,0.1427
162.5,0.0000,0.2569
163.5,0.0514,0.0856
164.5,0.0257,0.0285
165.5,0.0257,0.0856
166.5,0.0000,0.0571
167.5,0.0000,0.0571
168.5,0.0000,0.0571
169.5,0.0257,0.0571
170.5,0.0000,0.0285
171.5,0.0514,0.0856
172.5,0.0000,0.0285
173.5,0.0000,0.0856
174.5,0.0257,0.0856
175.5,0.0000,0.0856
176.5,0.0000,0.0571
177.5,0.0000,0.0000
178.5,0.0000,0.0000
179.5,0.0000,0.0000
