60000 1440.8117
60000 1440.8117
61000 1266.7478
62000 1251.2476
63000 1285.8275
64000 1278.6703
65000 1257.986
66000 1204.0465
67000 1248.5865
68000 1317.9612
69000 1260.8995
70000 1260.6189
71000 1214.9828
72000 1271.9736
73000 1323.1414
74000 1270.5989
75000 1315.6188
76000 1216.5227
77000 1273.6018
78000 1331.7608
79000 1273.442
80000 1302.5965
81000 1266.5254
82000 1267.3005
83000 1254.8736
84000 1285.5408
85000 1323.7635
86000 1292.3979
87000 1260.7221
88000 1251.9913
89000 1276.3976
90000 1251.762
91000 1251.0558
92000 1284.224
93000 1302.1321
94000 1199.6297
95000 1273.9086
96000 1319.4269
97000 1236.6319
98000 1256.0273
99000 1273.0772
100000 1281.964
101000 1234.8165
102000 1221.1024
103000 1209.4888
104000 1278.3021
105000 1273.933
106000 1185.7477
107000 1246.0218
108000 1257.359
109000 1226.3716
110000 1273.9318
111000 1288.6761
112000 1266.3552
113000 1238.3775
114000 1272.5033
115000 1282.2307
116000 1324.9553
117000 1244.9603
118000 1282.3332
119000 1332.5924
120000 1258.6564
121000 1268.8121
122000 1273.9189
123000 1305.0612
124000 1246.7726
125000 1258.2701
126000 1278.2945
127000 1247.7744
128000 1293.1465
129000 1319.1523
130000 1257.0303
131000 1262.8883
132000 1275.5198
133000 1291.7218
134000 1329.244
135000 1302.7801
136000 1277.5201
137000 1238.5179
138000 1240.0706
139000 1251.5125
140000 1301.0608
141000 1307.7486
142000 1246.4461
143000 1217.351
144000 1265.1846
145000 1261.8146
146000 1184.3275
147000 1264.7956
148000 1333.2764
149000 1338.7416
150000 1213.3973
151000 1303.7771
152000 1343.9264
153000 1284.4353
154000 1245.6773
155000 1221.7893
156000 1298.7912
157000 1291.9558
158000 1308.8451
159000 1289.0809
160000 1339.8942
161000 1286.95
162000 1227.762
163000 1268.1284
164000 1257.5846
165000 1255.6307
166000 1272.7852
167000 1271.0726
168000 1262.3709
169000 1274.5095
170000 1300.4188
