Angle (deg),O-Si-O Concentration (%),O-Al-O Concentration (%)
0.5,0.0000,0.0000
1.5,0.0000,0.0000
2.5,0.0000,0.0000
3.5,0.0000,0.0000
4.5,0.0000,0.0000
5.5,0.0000,0.0000
6.5,0.0000,0.0000
7.5,0.0000,0.0000
8.5,0.0000,0.0000
9.5,0.0000,0.0000
10.5,0.0000,0.0000
11.5,0.0000,0.0000
12.5,0.0000,0.0000
13.5,0.0000,0.0000
14.5,0.0000,0.0000
15.5,0.0000,0.0000
16.5,0.0000,0.0000
17.5,0.0000,0.0000
18.5,0.0000,0.0000
19.5,0.0000,0.0000
20.5,0.0000,0.0000
21.5,0.0000,0.0000
22.5,0.0000,0.0000
23.5,0.0000,0.0000
24.5,0.0000,0.0000
25.5,0.0000,0.0000
26.5,0.0000,0.0000
27.5,0.0000,0.0000
28.5,0.0000,0.0000
29.5,0.0000,0.0000
30.5,0.0000,0.0000
31.5,0.0000,0.0000
32.5,0.0000,0.0000
33.5,0.0000,0.0000
34.5,0.0000,0.0000
35.5,0.0000,0.0000
36.5,0.0000,0.0000
37.5,0.0000,0.0000
38.5,0.0000,0.0000
39.5,0.0000,0.0000
40.5,0.0000,0.0000
41.5,0.0000,0.0000
42.5,0.0000,0.0000
43.5,0.0000,0.0000
44.5,0.0000,0.0000
45.5,0.0000,0.0000
46.5,0.0000,0.0000
47.5,0.0000,0.0000
48.5,0.0000,0.0000
49.5,0.0000,0.0000
50.5,0.0000,0.0000
51.5,0.0000,0.0000
52.5,0.0000,0.0000
53.5,0.0000,0.0000
54.5,0.0000,0.0000
55.5,0.0000,0.0000
56.5,0.0000,0.0000
57.5,0.0000,0.0000
58.5,0.0000,0.0000
59.5,0.0000,0.0000
60.5,0.0000,0.0000
61.5,0.0000,0.0000
62.5,0.0000,0.0000
63.5,0.0000,0.0000
64.5,0.0000,0.0000
65.5,0.0000,0.0000
66.5,0.0000,0.0000
67.5,0.0000,0.0000
68.5,0.0000,0.0000
69.5,0.0000,0.0000
70.5,0.0000,0.0290
71.5,0.0000,0.0000
72.5,0.0000,0.0290
73.5,0.0000,0.1160
74.5,0.0000,0.0870
75.5,0.0000,0.0870
76.5,0.0000,0.0870
77.5,0.0000,0.0870
78.5,0.0518,0.2900
79.5,0.0000,0.2610
80.5,0.0259,0.2610
81.5,0.0518,0.4350
82.5,0.1295,0.6090
83.5,0.0259,0.7831
84.5,0.1813,0.7831
85.5,0.3109,0.9281
86.5,0.3368,1.4211
87.5,0.3886,1.4791
88.5,0.5181,1.3631
89.5,0.5959,1.6241
90.5,0.7254,1.7401
91.5,0.9326,1.7111
92.5,1.2176,1.8271
93.5,1.2176,1.9432
94.5,1.3731,2.3492
95.5,2.1503,2.5232
96.5,2.4870,2.2042
97.5,2.0984,2.5812
98.5,2.7202,2.6972
99.5,3.3679,3.1032
100.5,2.8238,2.6392
101.5,3.5751,3.0162
102.5,3.7306,2.5522
103.5,3.4197,2.6972
104.5,3.7565,2.7552
105.5,4.3264,2.7262
106.5,3.9637,2.5522
107.5,3.8342,2.7842
108.5,4.1710,2.8712
109.5,3.9119,2.4362
110.5,3.3161,2.3492
111.5,3.4715,2.4362
112.5,2.6943,2.0012
113.5,3.2642,1.8852
114.5,3.0311,1.9432
115.5,2.5389,1.6241
116.5,2.2539,1.9142
117.5,1.8912,1.4211
118.5,2.3057,1.3631
119.5,1.8653,1.6241
120.5,1.6062,1.3341
121.5,1.5285,1.4211
122.5,1.5285,1.2181
123.5,1.3212,1.1311
124.5,1.3472,1.1021
125.5,0.9067,0.6671
126.5,0.7513,0.8411
127.5,0.8290,0.9281
128.5,0.5959,0.8701
129.5,0.5959,0.6381
130.5,0.5181,0.5220
131.5,0.3368,0.5510
132.5,0.3368,0.6381
133.5,0.1813,0.4060
134.5,0.2073,0.3770
135.5,0.2591,0.4350
136.5,0.3627,0.5220
137.5,0.2591,0.4930
138.5,0.2073,0.3770
139.5,0.1295,0.2900
140.5,0.0259,0.4060
141.5,0.1295,0.3480
142.5,0.0518,0.3190
143.5,0.1036,0.2900
144.5,0.1036,0.2320
145.5,0.0518,0.4640
146.5,0.0000,0.1450
147.5,0.0259,0.2900
148.5,0.0259,0.2030
149.5,0.0518,0.2320
150.5,0.0259,0.2030
151.5,0.0000,0.2030
152.5,0.0518,0.2900
153.5,0.0259,0.2030
154.5,0.0000,0.2030
155.5,0.0259,0.0580
156.5,0.0518,0.1450
157.5,0.0259,0.2610
158.5,0.0259,0.0580
159.5,0.0259,0.0870
160.5,0.0000,0.1450
161.5,0.0000,0.2030
162.5,0.0000,0.0870
163.5,0.0259,0.0580
164.5,0.0259,0.1450
165.5,0.0000,0.2030
166.5,0.0518,0.0870
167.5,0.0000,0.1740
168.5,0.1036,0.0580
169.5,0.0259,0.0580
170.5,0.0000,0.0290
171.5,0.0259,0.0000
172.5,0.0000,0.1160
173.5,0.0259,0.0580
174.5,0.0000,0.0290
175.5,0.0000,0.0000
176.5,0.0259,0.0290
177.5,0.0000,0.0290
178.5,0.0000,0.0580
179.5,0.0000,0.0000
